File,Line,Type,AssetExpr,IsDynamic
"MightyFights_Prototype/GameShell.cs",112,"SpriteFont","@""Shared\DebugFont""",literal
"MightyFights_Prototype/Management Classes/DataManager.cs",60,"AnimationData","cTemplateData.sTrooperType",dynamic
"MightyFights_Prototype/Management Classes/DataManager.cs",65,"Texture2D","cTemplateData.sColor",dynamic
"MightyFights_Prototype/Management Classes/DataManager.cs",103,"AnimationData","@""Sprite Data\Chaplain\ChaplainArray""",literal
"MightyFights_Prototype/Management Classes/DataManager.cs",108,"Texture2D","@""Sprite Data\Chaplain\Chaplain""",literal
"MightyFights_Prototype/Management Classes/DataManager.cs",127,"AnimationData","@""In Game\Buffs\DropsArray""",literal
"MightyFights_Prototype/Management Classes/DataManager.cs",132,"Texture2D","@""In Game\Buffs\Drops""",literal
"MightyFights_Prototype/Management Classes/DataManager.cs",151,"AnimationData","@""In Game\Buffs\GemsArray""",literal
"MightyFights_Prototype/Management Classes/DataManager.cs",156,"Texture2D","@""In Game\Buffs\Gems""",literal
"MightyFights_Prototype/Management Classes/DataManager.cs",173,"AnimationData","@""In Game\Buffs\GemsArray""",literal
"MightyFights_Prototype/Management Classes/DataManager.cs",178,"Texture2D","@""In Game\Buffs\Gems""",literal
"MightyFights_Prototype/Management Classes/DataManager.cs",195,"Texture2D","sAnimalTex",dynamic
"MightyFights_Prototype/Management Classes/DataManager.cs",214,"AnimationData","@""In Game\Buffs\DropsArray""",literal
"MightyFights_Prototype/Management Classes/DataManager.cs",219,"Texture2D","@""In Game\Buffs\Drops""",literal
"MightyFights_Prototype/Management Classes/DataManager.cs",239,"AnimationData","@""In Game\Buffs\DropsArray""",literal
"MightyFights_Prototype/Management Classes/DataManager.cs",244,"Texture2D","@""In Game\Buffs\Drops""",literal
"MightyFights_Prototype/Management Classes/DataManager.cs",261,"ParticleEffect"," string.Format( @""Particles\{0}"", sEffect ",dynamic
"MightyFights_Prototype/Management Classes/DataManager.cs",280,"ParticleEffect"," string.Format( @""Particles\{0}"", sEffect ",dynamic
"MightyFights_Prototype/Management Classes/DataManager.cs",299,"Song"," string.Format( @""Music\{0}"", sSong ",dynamic
"MightyFights_Prototype/Management Classes/DataManager.cs",312,"SoundEffect"," string.Format( @""SFX\{0}"", sSfx ",dynamic
"MightyFights_Prototype/Scenes/InGame/Battlegrounds/Basic/BattleGround_Basic.cs",303,"Texture2D","@""In Game\Buffs\ItemBox""",literal
"MightyFights_Prototype/Scenes/InGame/Battlegrounds/Basic/BattleGround_Basic.cs",310,"Texture2D","@""In Game\Buffs\ItemBox""",literal
"MightyFights_Prototype/Scenes/InGame/Battlegrounds/Basic/BattleGround_Basic.cs",317,"Texture2D","@""In Game\Buffs\ItemBox""",literal
"MightyFights_Prototype/Scenes/InGame/Battlegrounds/Basic/BattleGround_Basic.cs",324,"Texture2D","@""In Game\Buffs\ItemBox""",literal
"MightyFights_Prototype/Scenes/InGame/Battlegrounds/Basic/BattleGround_Basic.cs",331,"Texture2D","@""In Game\Buffs\ItemBox""",literal
"MightyFights_Prototype/Scenes/InGame/Battlegrounds/Basic/BattleGround_Basic.cs",338,"Texture2D","@""In Game\Buffs\ItemBox""",literal
"MightyFights_Prototype/Scenes/InGame/Battlegrounds/Basic/BattleGround_Basic.cs",345,"Texture2D","@""In Game\Buffs\ItemBox""",literal
