RelativePath,Width,Height,FlagOver2048
Out Game\TitleScreen\big_map4.png,1025,576,
Out Game\TitleScreen\map4big.png,1025,576,
In Game\Camp\camp.png,1024,576,
In Game\Camp\ground.png,1024,576,
In Game\Hud\border_jackson.png,1024,576,
Out Game\TitleScreen\wodyn_title.png,1024,576,
Backgrounds\dirt_grass 800x436.png,800,436,
Backgrounds\dirt_grass 800x500.png,800,500,
Backgrounds\dirt_grass_large.png,800,600,
In Game\Camp\Template\AtkPower.png,256,512,
In Game\Camp\Template\AtkSpeed.png,256,512,
In Game\Camp\Template\HitPoints.png,256,512,
In Game\Camp\Template\MoveSpeed.png,256,512,
Sprite Data\Troopers\Halberd\Textures\darvi_bill.png,512,512,
Sprite Data\Troopers\Halberd\Textures\fazure.png,512,512,
Sprite Data\Troopers\Halberd\Textures\fbrown.png,512,512,
Sprite Data\Troopers\Halberd\Textures\fcrimson.png,512,512,
Sprite Data\Troopers\Halberd\Textures\fgrey.png,512,512,
Sprite Data\Troopers\Halberd\Textures\fgules.png,512,512,
Sprite Data\Troopers\Halberd\Textures\fmidnight.png,512,512,
Sprite Data\Troopers\Halberd\Textures\Footman.png,512,512,
Sprite Data\Troopers\Halberd\Textures\Footman_bill_steel.png,512,512,
Sprite Data\Troopers\Halberd\Textures\fpurple.png,512,512,
Sprite Data\Troopers\Halberd\Textures\frust.png,512,512,
Sprite Data\Troopers\Halberd\Textures\fsable.png,512,512,
Sprite Data\Troopers\Halberd\Textures\fsteel.png,512,512,
Sprite Data\Troopers\Halberd\Textures\fstorm.png,512,512,
Sprite Data\Troopers\Halberd\Textures\fvert.png,512,512,
Sprite Data\Troopers\Halberd\Textures\fvert2.png,512,512,
Sprite Data\Troopers\Halberd\Textures\fzombie.png,512,512,
In Game\Camp\Template\template_window.png,475,255,
In Game\Camp\Company Dialog\company_window.png,340,280,
In Game\Camp\Captain's_house.png,326,241,
In Game\Camp\supply hut.png,324,187,
In Game\Map\littlemap.png,324,208,
In Game\Camp\smith.png,316,136,
Out Game\TitleScreen\map4.png,300,200,
In Game\Camp\Template\frame.png,287,210,
In Game\Camp\barracks.png,278,180,
In Game\Buffs\Drops.png,128,256,
In Game\Camp\Template\BottomSliders.png,256,256,
In Game\Camp\Template\TopSliders.png,256,256,
Particles\Beam.png,256,256,
Particles\BeamBlurred.png,256,256,
Sprite Data\Chaplain\Chaplain.png,256,256,
Sprite Data\Troopers\Halberd\Front Facing\front.png,128,256,
In Game\Camp\Template\template_select_window.png,255,255,
Out Game\TitleScreen\view_legends00.png,238,38,
Out Game\TitleScreen\view_legends01.png,238,38,
In Game\Camp\wagon.png,206,113,
In Game\Camp\knight_box.png,204,72,
In Game\Camp\smith_box.png,203,75,
In Game\Camp\picard_box.png,201,76,
In Game\Camp\spy_box.png,189,63,
Out Game\TitleScreen\play_game00.png,187,36,
Out Game\TitleScreen\play_game01.png,187,36,
In Game\Camp\surgeon_tent.png,175,131,
In Game\Camp\Company Dialog\company_name.png,164,35,
In Game\Camp\Template\template_name.png,164,35,
Out Game\TitleScreen\quit_exit.png,154,40,
Out Game\Main Menu\to_battle!-1.png,152,46,
Out Game\TitleScreen\options00.png,141,37,
Out Game\TitleScreen\options01.png,141,37,
In Game\Buffs\BufItems.png,64,128,
Particles\Cloud001.png,128,128,
Particles\Cloud002.png,128,128,
Particles\Cloud003.png,128,128,
Particles\Cloud004.png,128,128,
Particles\Elipse001.png,128,128,
Particles\Flame.png,128,128,
Particles\Laser.png,128,128,
Particles\LensFlare.png,128,128,
Particles\MultiDot.png,128,128,
Particles\Particle001.png,128,128,
Particles\Particle002.png,128,128,
Particles\Particle003.png,128,128,
Particles\Particle004.png,128,128,
Particles\Particle005.png,128,128,
Particles\Particle006.png,128,128,
Particles\Particle007.png,128,128,
Particles\Ring001.png,128,128,
Particles\Ring002.png,128,128,
Particles\SoftClumpy.png,128,128,
Particles\SoftSmokey.png,128,128,
Particles\Spikey001.png,128,128,
Particles\Spikey002.png,128,128,
Particles\Splash.png,128,128,
Particles\Spray001.png,128,128,
Particles\Star.png,128,128,
Particles\Water001.png,128,128,
Particles\Water002.png,128,128,
Particles\Weeds.png,128,128,
In Game\Camp\Template\combinations.png,92,123,
In Game\Camp\KnightMenu\knight_box.png,110,118,
In Game\Camp\Template\acts of prowess.png,118,27,
In Game\Camp\Company Dialog\icon_grid.png,116,55,
In Game\Camp\Company Dialog\icon_window.png,116,55,
In Game\Camp\Company Dialog\click_to_drag.png,107,19,
In Game\Camp\SmithMenu\smith_box.png,107,98,
In Game\Camp\Template\battle mastery.png,105,31,
In Game\Map\BuildingIcons\MapMenus\bandit_party_window.png,105,63,
In Game\Map\BuildingIcons\MapMenus\bridge_window.png,105,63,
In Game\Map\BuildingIcons\MapMenus\chaos_dungeon_window.png,105,63,
In Game\Map\BuildingIcons\MapMenus\chapel_window.png,105,63,
In Game\Map\BuildingIcons\MapMenus\citadel_window.png,105,63,
In Game\Map\BuildingIcons\MapMenus\dark_city_window.png,105,63,
In Game\Map\BuildingIcons\MapMenus\hamlet_window.png,105,63,
In Game\Map\BuildingIcons\MapMenus\rival_army_window.png,105,63,
In Game\Map\BuildingIcons\MapMenus\smokey_hut_window.png,105,63,
In Game\Map\BuildingIcons\MapMenus\tower_window.png,105,63,
In Game\Buffs\Animals\dragon.png,87,92,
In Game\Buffs\Animals\snake.png,80,52,
Out Game\TitleScreen\sword.png,80,35,
In Game\Buffs\Animals\lion.png,61,78,
In Game\Map\BuildingIcons\dungeon.png,67,75,
In Game\Map\BuildingIcons\dungeon_blue.png,67,75,
In Game\Map\BuildingIcons\dungeon_red.png,67,75,
In Game\Map\Buildings\dungeon.png,67,75,
In Game\Map\Buildings\dungeon_blue.png,67,75,
In Game\Map\Buildings\dungeon_red.png,67,75,
In Game\Camp\Template\TemplateSelect.png,43,70,
In Game\Buffs\Animals\eagle.png,68,63,
In Game\Buffs\Animals\wolf.png,48,65,
In Game\Buffs\Gems.png,64,64,
In Game\Buffs\Animals\crab.png,64,60,
Particles\FlowerBurst.png,64,64,
In Game\Buffs\ItemBox.png,60,44,
Out Game\Main Menu\green_card.png,44,60,
Out Game\Main Menu\red_card.png,44,60,
In Game\Camp\Company Dialog\CompanyBox.png,57,22,
In Game\Camp\Company Dialog\CompanySelect.png,57,22,
In Game\Camp\Template\done.png,53,24,
In Game\Buffs\Animals\squirrel.png,49,48,
In Game\Buffs\Animals\toad.png,49,42,
In Game\Map\BuildingIcons\hamlet.png,48,26,
In Game\Map\BuildingIcons\hamlet_blue.png,48,26,
In Game\Map\BuildingIcons\hamlet_red.png,48,26,
In Game\Map\Buildings\hamlet.png,48,26,
In Game\Map\Buildings\hamlet_blue.png,48,26,
In Game\Map\Buildings\hamlet_red.png,48,26,
In Game\Map\BuildingIcons\citadel.png,34,47,
In Game\Map\BuildingIcons\citadel_blue.png,34,47,
In Game\Map\BuildingIcons\citadel_red.png,34,47,
In Game\Map\BuildingIcons\MapMenus\Actions\infiltrate.png,47,11,
In Game\Map\BuildingIcons\MapMenus\Actions\infiltrate_H.png,47,11,
In Game\Map\BuildingIcons\MapMenus\Actions\lay_seige.png,47,14,
In Game\Map\BuildingIcons\MapMenus\Actions\lay_seige_H.png,47,14,
In Game\Map\Buildings\citadel.png,34,47,
In Game\Map\Buildings\citadel_blue.png,34,47,
In Game\Map\Buildings\citadel_red.png,34,47,
In Game\Map\BuildingIcons\MapMenus\Actions\burglarize.png,46,14,
In Game\Map\BuildingIcons\MapMenus\Actions\burglarize_H.png,46,14,
In Game\Camp\Company Dialog\reset_gray.png,45,15,
In Game\Camp\Company Dialog\reset_red.png,45,15,
In Game\Map\BuildingIcons\MapMenus\Actions\send_scout.png,44,11,
In Game\Map\BuildingIcons\MapMenus\Actions\send_scout_H.png,44,11,
In Game\Map\BuildingIcons\MapMenus\Actions\reinforce.png,43,11,
In Game\Map\BuildingIcons\MapMenus\Actions\reinforce_H.png,43,11,
In Game\Map\BuildingIcons\MapMenus\Actions\attack.png,41,11,
In Game\Map\BuildingIcons\MapMenus\Actions\attack_H.png,41,11,
In Game\Map\BuildingIcons\MapMenus\Actions\conquer.png,41,13,
In Game\Map\BuildingIcons\MapMenus\Actions\conquer_H.png,41,13,
In Game\Camp\Template\absorb damage.png,28,40,
In Game\Camp\Template\absorb damage_gray.png,28,40,
In Game\Camp\Template\big time.png,28,40,
In Game\Camp\Template\big time_gray.png,28,40,
In Game\Camp\Template\brave heart.png,28,40,
